track_name,artists,macro_genre,popularity
SOS - Acoustic Covers Versions,Covers Culture,folk-acustico,26
Of Ballots and Barricades - Live,Ramshackle Glory,folk-acustico,27
Sombody else - Acoustic,Sara Farell,folk-acustico,42
Stuck with U - Acoustic,Jonah Baker,folk-acustico,51
Havana - Acoustic,Matt Johnson,folk-acustico,53
Issues - Acoustic,Sara Farell,folk-acustico,47
Moth To A Flame - Acoustic Instrumental,Guus Dielissen,folk-acustico,43
(I Just) Died In Your Arms - Acoustic,Carly Lyman;Jason Lux,folk-acustico,47
Seven Nation Army - Acoustic Covers Versions of Popular Songs,Vendredi;Chrissy Dave,folk-acustico,25
Mood - Acoustic,Adam Christopher,folk-acustico,50
She's The Song - Acoustic,Nathan Angelo,folk-acustico,48
Memories (Instrumental Guitar),Guus Dielissen,folk-acustico,37
I Want It That Way - Acoustic Covers of Popular Songs,Son&Dad;Filip Nordin,folk-acustico,51
青空、ひとりきり - Remastered 2018,Yosui Inoue,folk-acustico,26
神無月にかこまれて - Remastered 2018,Yosui Inoue,folk-acustico,26
Milonga de Ojos Dorados (Alfredo Zitarrosa) - Live on Pardelion Music,Jorge Drexler;Sebastián Prada,world,38
Vida Loka I - Live,Criolo;Emicida;Mano Brown,world,44
Só Mais Uma Noite - Live,Criolo;Emicida;Evandro Fióti,world,37
A Cada Vento - Live,Criolo;Emicida,world,41
Zica Vai Lá - Live,Criolo;Emicida,world,35
Subirusdoistiozin - Live,Criolo;Emicida,world,37
Viva (Melô Dos Vileiros) - Live,Criolo;Emicida,world,32
Mariô - Live,Criolo,world,33
Demorô - Live,Criolo;Emicida,world,33
Triunfo - Live,Criolo;Emicida,world,34
Grajauex - Live,Criolo;Emicida,world,33
District Six - Live,Hugh Masekela,world,0
Não Existe Amor Em SP - Live,Criolo;Emicida,world,35
Bogotá - Live,Criolo;Emicida,world,33
Dikalo - Remix 97,Manu Dibango,world,0
District Six - Live,Hugh Masekela,world,0
4 da Manhã – Deluxe Edition,Criolo,world,30
District Six - Live,Hugh Masekela,world,0
Lion Man - Live,Criolo;Emicida,world,30
District Six - Live,Hugh Masekela,world,0
District Six - Live,Hugh Masekela,world,0
Acosadora - Radio Edit,La Misa Negra,world,28
Língua Felina – Deluxe Edition,Criolo,world,26
Espérame (Extended Mix),Los Amigos Invisibles,world,31
Saci (Remix),BaianaSystem;Tropkillaz,world,42
Like a Child - Remix,Sarah Téibo;Fred Hammond,world,23
Ivory and Blue - Reprise,Menahan Street Band,world,22
Não Existe Amor em SP (Instrumental),Criolo,world,20
Avi-Vo - Remastered,Lafayette Afro Rock Band,world,21
Posed To Be - Instrumental,Breakestra,world,21
Subirusdoistiozin (Instrumental),Criolo,world,19
Conga - Remastered,Lafayette Afro Rock Band,world,19
Bogotá (Instrumental),Criolo,world,19
Cash and Carry - Remix,BANTU;Megaloh;Ghanaian Stallion,world,19
Nowa - Radio Edit,The Bongo Hop;Maikcel,world,19
Ja Fun Mi - Instrumental,King Sunny Ade,world,19
Kaiso Noir (Bonus Track),Bacao Rhythm & Steel Band,world,18
Mariô (Instrumental),Criolo,world,16
Black Woman Experience - Mixed,Geraldo Pino;The Heartbeats,world,17
I Love Music - Remastered,Lafayette Afro Rock Band,world,17
Not Another Drop (Reprise),Ikebe Shakedown,world,16
Freguês da Meia Noite (Instrumental),Criolo,world,15
Look Out Baby (Here I Come) (Bonus Track),Bacao Rhythm & Steel Band,world,16
Baba Hya - Remastered,Lafayette Afro Rock Band,world,16
Better Change Your Mind - Mixed,William Onyeabor,world,16
Fire - Remastered,Red Hot Chili Peppers,rock,1
Higher Ground - Remastered,Red Hot Chili Peppers,rock,1
Daddy Issues (Remix) feat. Syd,The Neighbourhood;Syd,rock,75
Bullet With Butterfly Wings - Remastered 2012,The Smashing Pumpkins,rock,2
It's Not My Time - Acoustic,3 Doors Down,rock,0
Holy Wars...The Punishment Due - Remastered,Megadeth,rock,2
Holy Wars...The Punishment Due - Remastered,Megadeth,rock,0
Miro Por La Ventana - Remastered 2017,Andrés Calamaro,rock,0
Otro Amor En Avellaneda - Remastered 2017,Andrés Calamaro,rock,0
Song 2 - 2012 Remaster,Blur,rock,0
Song 2 - 2012 Remaster,Blur,rock,0
"10,000 Reasons (Bless The Lord) - Live",Matt Redman,rock,66
Mind Over Matter (Reprise),Young the Giant,rock,75
I'm A Believer - Radio Edit,Smash Mouth,rock,3
Bitter Sweet Symphony - Remastered 2016,The Verve,rock,0
Bitter Sweet Symphony - Remastered 2016,The Verve,rock,1
Bitter Sweet Symphony - Remastered 2016,The Verve,rock,0
Where Is My Mind? - Remastered,Pixies,rock,79
Shatter - Edit,Bullet For My Valentine,rock,0
Soun Tha Mi Primer Amor - Remastered,Kinky,rock,54
Noel - Live,Chris Tomlin;Lauren Daigle,rock,0
Bitter Sweet Symphony - Remastered 2016,The Verve,rock,1
Way Maker - Live,Leeland,rock,67
Epic - Radio Edit,Faith No More,rock,0
Un Pacto - Live In Buenos Aires / 2001,Bersuit Vergarabat,rock,0
Dime - 2008 Remaster,Gondwana,rock,0
Rompecabezas De Amor... - Live In Buenos Aires / 2016,Las Pastillas del Abuelo,rock,0
Tantas Escaleras - Live In Buenos Aires / 2016,Las Pastillas del Abuelo,rock,0
Rompecabezas De Amor... - Live In Buenos Aires / 2016,Las Pastillas del Abuelo,rock,48
Song 2 - 2012 Remaster,Blur,rock,78
The Spirit Of Christmas - Medley,Michael W. Smith,rock,0
Eiti-Leda (Remasterizado 2021),Serú Girán,rock,46
Happy Holiday / Holiday Season - Medley,Michael W. Smith,rock,0
Here Without You - Acoustic Version,3 Doors Down,rock,64
Trains - Remastered,Porcupine Tree,rock,56
Camaleón - Remasterizado 2007,Soda Stereo,rock,46
Helping Hand - Remastered,The Screaming Jets,rock,45
Tornado Of Souls - Remastered 2004,Megadeth,rock,68
Carmela - Remasterizado 2008,Los Fabulosos Cadillacs,rock,45
Radio Kriminal - Remasterizado 2008,Los Fabulosos Cadillacs,rock,45
Canción De Alicia En El País - Remastered 2012,Serú Girán,rock,44
Six Days - Remix,DJ Shadow;Mos Def,rock,66
Meet Me At Our Spot - Live,THE ANXIETY;WILLOW;Tyler Cole,rock,67
SAD GIRLZ LUV MONEY - Remix,Amaarae;Kali Uchis;Moliy,rock,1
Brace for Impact - Live a Little,Sturgill Simpson,rock,0
Brace for Impact - Live a Little,Sturgill Simpson,rock,0
Six Days - Remix,DJ Shadow;Mos Def,rock,62
Crush On You - Remix,Lil' Kim;Lil' Cease,rock,0
BRB - Acoustic Version,Mahalia,rock,0
BRB - Acoustic Version,Mahalia,rock,0
BRB - Acoustic Version,Mahalia,rock,0
Xtasy - Remix,Ravyn Lenae;Doechii,rock,0
Xtasy - Remix,Ravyn Lenae;Doechii,rock,1
Goodness of God - Live,Bethel Music;Jenn Johnson,otros,66
"24 Preludes, Op. 34: No. 14 in E-Flat Minor (Arr. L. Stokowski for Orchestra) [Live]",Dmitri Shostakovich;Byron Nelson High School Symphony Orchestra;Gary Keller,otros,2
King of My Heart - Live,Bethel Music;Steffany Gretzinger,otros,63
It Is Well - Live,Bethel Music;Kristene DiMarco,otros,62
No Longer Slaves (Spontaneous) - Live,Bethel Music;Jonathan David Helser;Melissa Helser,otros,62
Raise a Hallelujah - Live,Bethel Music;Jonathan David Helser;Melissa Helser,otros,63
Champion - Live,Bethel Music;Dante Bowe,otros,60
Por Siempre (Live),Bethel Music;kalley,otros,37
An Ending (Ascent) - Remastered 2005,Brian Eno,otros,59
God of Revival - Live,Bethel Music;Brian Johnson;Jenn Johnson,otros,58
Egypt - Live,Bethel Music;Cory Asbury,otros,58
Ever Be - Live,Bethel Music;kalley,otros,54
Khanabadosh (Remix By Dj A-Myth),Mohan,otros,18
You Are Enough (Acoustic),Sleeping At Last,otros,43
Turning Page (Instrumental),Sleeping At Last,otros,52
Turning Page (Live),Sleeping At Last,otros,40
Elegy For The Arctic - Remastered 2020,Ludovico Einaudi,otros,54
You Make Me Brave - Live,Bethel Music;Amanda Cook,otros,54
Living Hope - Live,Bethel Music;Brian Johnson;Jenn Johnson,otros,46
Haul - Radio Edit,Christian Löffler;Mohna,otros,52
Touch of Heaven / Alabaster Heart - Live,Bethel Music;David Funk,otros,49
Fuori Dal Mondo - Remastered 2020,Ludovico Einaudi;Franco Feruglio;Mauro Loguercio;Gabriele Baffero;Antonello Leofreddi;Marco Decimo,otros,52
Choros - Remastered 2020,Ludovico Einaudi,otros,50
Reason To Praise - Live,Bethel Music;Cory Asbury;Naomi Raine,otros,55
Versailles (Hold) - Edit,Christian Löffler,otros,53
Homecoming - Live,Bethel Music;Cory Asbury;Gable Price,otros,55
I Believe - Live,Bethel Music;Jonathan David Helser;Melissa Helser,otros,52
Too Good To Not Believe - Live,Bethel Music;Brandon Lake,otros,55
